Warrant Ticker,Expiration Date
19610,3/8/2016
21191,3/8/2016
25394,3/8/2016
25995,4/8/2016
26230,4/8/2016
26231,4/8/2016
25657,5/8/2016
25658,5/8/2016
21453,8/8/2016
25639,15/8/2016
21228,22/8/2016
19882,22/8/2016
29996,23/8/2016
15566,23/8/2016
18599,29/8/2016
29887,29/8/2016
29417,29/8/2016
19214,29/8/2016
26107,29/8/2016
26218,29/8/2016
23535,30/8/2016
25435,30/8/2016
25604,30/8/2016
26142,30/8/2016
26257,30/8/2016
27828,30/8/2016
25606,30/8/2016
25917,30/8/2016
26036,30/8/2016
26052,30/8/2016
26320,30/8/2016
26359,30/8/2016
26491,30/8/2016
26532,30/8/2016
27596,30/8/2016
27770,30/8/2016
25698,30/8/2016
25946,30/8/2016
26362,30/8/2016
18235,30/8/2016
17740,30/8/2016
24429,30/8/2016
25994,30/8/2016
26039,30/8/2016
27666,30/8/2016
27821,30/8/2016
17878,31/8/2016
25859,1/9/2016
26015,1/9/2016
25702,1/9/2016
25212,2/9/2016
26474,2/9/2016
29544,2/9/2016
25726,2/9/2016
26118,2/9/2016
26567,2/9/2016
26872,2/9/2016
19072,5/9/2016
21929,5/9/2016
25566,5/9/2016
26069,5/9/2016
26409,5/9/2016
26061,5/9/2016
26443,5/9/2016
12108,5/9/2016
25734,5/9/2016
26480,5/9/2016
26574,8/9/2016
17054,8/9/2016
25659,19/9/2016
21724,21/9/2016
26349,26/9/2016
26207,26/9/2016
27664,26/9/2016
26047,26/9/2016
27788,28/9/2016
27793,28/9/2016
24452,29/9/2016
24424,29/9/2016
25916,29/9/2016
25922,29/9/2016
26399,29/9/2016
26485,29/9/2016
26540,29/9/2016
26703,29/9/2016
26919,29/9/2016
27459,29/9/2016
27891,29/9/2016
16148,29/9/2016
25104,29/9/2016
23538,29/9/2016
25625,29/9/2016
26896,29/9/2016
24419,29/9/2016
25548,29/9/2016
25627,29/9/2016
25969,29/9/2016
26037,29/9/2016
26106,29/9/2016
26131,29/9/2016
26483,29/9/2016
26668,29/9/2016
26716,29/9/2016
26849,29/9/2016
26915,29/9/2016
27111,29/9/2016
27382,29/9/2016
27562,29/9/2016
23885,29/9/2016
24830,29/9/2016
25579,29/9/2016
26003,29/9/2016
26444,29/9/2016
26511,29/9/2016
26717,29/9/2016
26874,29/9/2016
27112,29/9/2016
27422,29/9/2016
27592,29/9/2016
17998,30/9/2016
25620,30/9/2016
26827,30/9/2016
12167,30/9/2016
17895,3/10/2016
25669,3/10/2016
26289,3/10/2016
26554,3/10/2016
26538,3/10/2016
26705,3/10/2016
26974,3/10/2016
21618,3/10/2016
26539,3/10/2016
26968,3/10/2016
26028,4/10/2016
26108,4/10/2016
26450,4/10/2016
26366,4/10/2016
23976,4/10/2016
25652,4/10/2016
26054,4/10/2016
25384,4/10/2016
26573,4/10/2016
26853,4/10/2016
26084,5/10/2016
26728,5/10/2016
26116,5/10/2016
26730,5/10/2016
20354,5/10/2016
25974,5/10/2016
26082,5/10/2016
26083,5/10/2016
27128,5/10/2016
27097,6/10/2016
28413,7/10/2016
27542,11/10/2016
26295,11/10/2016
17980,12/10/2016
25981,17/10/2016
26860,17/10/2016
27420,20/10/2016
21732,24/10/2016
26706,24/10/2016
27636,26/10/2016
26155,28/10/2016
26905,28/10/2016
27114,28/10/2016
27360,28/10/2016
27356,28/10/2016
27465,28/10/2016
27893,28/10/2016
25713,28/10/2016
27054,28/10/2016
27394,28/10/2016
27400,28/10/2016
21804,28/10/2016
25192,28/10/2016
25699,28/10/2016
26384,28/10/2016
27010,28/10/2016
27359,28/10/2016
27827,28/10/2016
21790,31/10/2016
19085,31/10/2016
18649,31/10/2016
27669,31/10/2016
21427,31/10/2016
26558,31/10/2016
27708,31/10/2016
27811,31/10/2016
